"id","label","unit","description","year","value","source","question_code","transform"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2000","30.654","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2002","29.52","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2004","29.656","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2006","28.794","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2008","25.23","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2010","26.838","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2012","28.679","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2014","25.769","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2016","23.264","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2018","23.748","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2021","19.551","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"health_excellent","Health","%","GSS: share of adults reporting excellent health.","2022","19.562","GSS 1972-2024 cumulative release R3","HEALTH","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2000","1.777","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2002","1.842","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2004","1.959","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2006","1.765","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2008","1.789","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2010","1.758","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2012","1.734","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2014","1.673","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2016","1.679","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2018","1.586","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2021","1.307","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"community_attendance","Attendance","x/mo","GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.","2022","1.273","GSS 1972-2024 cumulative release R3","ATTEND","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2000","35.094","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2002","33.775","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2004","33.858","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2006","32.486","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2008","32.219","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2010","32.117","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2012","31.77","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2014","29.621","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2016","31.914","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2018","33.848","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"social_trust","Trust","%","GSS: share of adults saying most people can be trusted.","2022","26.169","GSS 1972-2024 cumulative release R3","TRUST","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2000","2.992","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2002","3.418","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2004","3.0","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2006","3.041","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2008","3.246","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2010","2.904","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2012","3.148","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2014","2.938","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2016","2.89","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2018","2.43","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2021","1.808","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
"friend_evenings","Friends","x/mo","GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.","2022","2.711","GSS 1972-2024 cumulative release R3","SOCFREND","weighted_gss"
